세그먼트,시점,편의점(개),병원(개),지하철역까지 거리(m),건축년도,전용면적(㎡)
아파트 전세,2019Q1,-0.6,0.66,-0.87,0.93,-0.44
아파트 전세,2020Q2,-0.36,0.86,-0.89,0.93,-0.24
아파트 전세,2021Q4,-0.42,0.82,-0.83,0.93,0.03
아파트 전세,2022Q4,0.19,0.7,-0.81,0.93,-0.13
아파트 월세,2019Q1,-0.43,0.74,-0.74,0.89,0.86
아파트 월세,2020Q2,0.02,0.82,-0.73,0.9,0.91
아파트 월세,2021Q4,0.32,0.84,-0.71,0.93,0.95
아파트 월세,2022Q4,0.07,0.84,-0.51,0.89,0.93
연립 매매,2019Q1,-0.42,0.63,-0.52,0.84,-0.88
연립 매매,2020Q2,-0.55,0.31,-0.7,0.78,-0.89
연립 매매,2021Q4,-0.32,0.19,-0.77,0.89,-0.92
연립 매매,2022Q4,-0.46,0.2,-0.69,0.94,-0.89
연립 전세,2019Q1,0.76,0.71,-0.67,0.98,-0.94
연립 전세,2020Q2,0.6,0.73,-0.72,0.99,-0.95
연립 전세,2021Q4,0.57,0.61,-0.73,0.98,-0.95
연립 전세,2022Q4,0.75,0.79,-0.53,0.98,-0.95
연립 월세,2019Q1,0.56,0.56,-0.29,0.9,0.11
연립 월세,2020Q2,0.42,0.65,-0.28,0.75,0.36
연립 월세,2021Q4,-0.1,0.5,-0.48,0.84,0.54
연립 월세,2022Q4,-0.29,0.62,-0.59,0.68,0.4
