세그먼트,시점,n,MAE_B1,MAE_M3,MAE_M4a,R2_B1,R2_M3,R2_M4a
아파트 전세,2019Q1,31005,140.0612401442766,129.8659551097135,107.88408718374741,0.2575359389047843,0.3053154539015044,0.4659234258751688
아파트 전세,2020Q2,30501,150.67890730854876,141.01330598214128,112.10354868753289,0.324039567890295,0.35446355009017905,0.5362928867479129
아파트 전세,2021Q4,35155,226.17235003164402,201.36473686138217,183.99179582371457,0.24957001195182116,0.34947578077342534,0.4498096287971517
아파트 전세,2022Q4,31432,181.8714634937139,175.8685279030488,143.88090175769753,0.30168451503564275,0.333779435843791,0.5259493725464368
아파트 월세,2019Q1,12978,148.8097208128804,110.33482453390995,92.04581196326099,0.07802637605177909,0.39457917791574015,0.5352259800523498
아파트 월세,2020Q2,12203,163.254637350437,119.3499186243546,102.99080368801707,0.003801595051686868,0.4259760244780414,0.5319880719263061
아파트 월세,2021Q4,25778,192.06482330583415,153.39343037970394,137.92577162243114,0.07348133033219495,0.4130442917945336,0.5075389181030503
아파트 월세,2022Q4,28683,192.46254196150784,147.3755847292777,135.00598907833236,0.07672794589471887,0.4282032491421981,0.5206858763385902
연립 매매,2019Q1,6667,159.54073265425308,113.56398696204579,94.24415724369398,0.2512067824046521,0.5722534145359495,0.7044570850958677
연립 매매,2020Q2,15034,198.78413098421726,134.76028702389064,111.34230313678533,0.333133973101574,0.6449887179414323,0.7585638977272924
연립 매매,2021Q4,10515,250.57239119698738,166.57079470673904,149.1486864696218,0.23859038852594983,0.6408739234548708,0.7230891349603787
연립 매매,2022Q4,4210,272.82464084622103,184.07919535051556,163.97136715856323,0.06618020486857701,0.5990891344345111,0.6762264640620288
연립 전세,2019Q1,16596,163.17605371221256,84.0689045142279,78.20631071991113,0.10372631048394121,0.647897082239229,0.6747191588334879
연립 전세,2020Q2,18010,195.48515169771812,95.56183343892677,88.44974537654232,0.14090063493884009,0.6929931387067076,0.7234259519407487
연립 전세,2021Q4,14991,234.12283543304983,113.29851090272227,106.5929762782877,0.14312148207716158,0.7235413519545337,0.7520479812872156
연립 전세,2022Q4,16910,203.65465822877624,105.60225073195038,97.40973823690456,0.18356090107637824,0.7201215273528061,0.7525045123566324
연립 월세,2019Q1,8456,93.917777866673,69.9828176694826,66.50752143386404,0.009628408515791942,0.285668647203675,0.31653819574717035
연립 월세,2020Q2,7194,112.04402248245657,82.30773024717377,79.47230640243176,-0.0037008668218139196,0.2773758248454803,0.2992794135356198
연립 월세,2021Q4,8134,133.80878738666868,99.97378478970737,96.84302706837917,-0.01986929361662093,0.28240826928084684,0.31566477215269906
연립 월세,2022Q4,13212,135.89554049298084,95.74845856248218,92.83128740667591,-0.019663215066565876,0.33412806647541426,0.3471691137914211
