세그먼트,시점,n,MAE_A,MAE_B,개선율
아파트 전세,2019Q1,31005,97.52605033045933,78.93233759766005,19.0653806544979
아파트 전세,2020Q2,30501,108.08103939151034,92.53017802711014,14.388149347888035
아파트 전세,2021Q4,35155,173.83788640464613,165.09790863835204,5.027659934814128
아파트 전세,2022Q4,31432,137.3376500560401,121.00277586452337,11.893952011594306
아파트 월세,2019Q1,12978,91.47434331907837,84.02738052374771,8.141039908156941
아파트 월세,2020Q2,12203,104.87825849758214,94.64047688011065,9.761586208744594
아파트 월세,2021Q4,25778,140.8659457475161,131.30834474357533,6.78489109147183
아파트 월세,2022Q4,28683,137.8122800153317,121.75189249894369,11.653814532784226
연립 매매,2019Q1,6667,93.64261890036538,91.66402170953903,2.1129238097575556
연립 매매,2020Q2,15034,115.07455048897974,108.01941613701804,6.130924971666382
연립 매매,2021Q4,10515,143.83021368144134,137.56612055738955,4.3551997620789535
연립 매매,2022Q4,4210,153.9281145328692,141.11782787996,8.322252690345094
연립 전세,2019Q1,16596,73.13930861749988,71.76181030198758,1.8833898508888929
연립 전세,2020Q2,18010,84.30366810121276,82.65744280860626,1.9527326979771358
연립 전세,2021Q4,14991,102.06895806565127,100.43149335164905,1.6042729788120251
연립 전세,2022Q4,16910,91.56392874369546,90.70559691513773,0.9374126256206794
연립 월세,2019Q1,8456,65.06997857006357,64.37498518443948,1.068070715400281
연립 월세,2020Q2,7194,75.34548681559582,74.3140861953908,1.3688950245013602
연립 월세,2021Q4,8134,94.68710259862634,94.50803869016465,0.18911119207092875
연립 월세,2022Q4,13212,90.74667566414692,89.98663742271472,0.8375383845961442
