세그먼트,년,분기,n,면적_슬,R2_슬,1순위_슬,R2_교,면적_교,1순위_교
아파트 전세,2019,1,31005,0.24631011486053467,0.8686525821685791,전용면적(㎡),0.3053154539015044,0.033905673772096634,건축년도
아파트 전세,2020,2,30501,0.214758038520813,0.8945578932762146,전용면적(㎡),0.35446355009017905,0.038988690823316574,건축년도
아파트 전세,2021,4,35155,0.20973825454711914,0.849057137966156,전용면적(㎡),0.34947578077342534,0.040427252650260925,건축년도
아파트 전세,2022,4,31432,0.22029782831668854,0.8974403738975525,전용면적(㎡),0.333779435843791,0.0403314046561718,건축년도
아파트 월세,2019,1,12978,0.20242473483085632,0.8017251491546631,전용면적(㎡),0.39457917791574015,0.11439819633960724,건축년도
아파트 월세,2020,2,12203,0.18309174478054047,0.8243445754051208,전용면적(㎡),0.4259760244780414,0.09957059472799301,건축년도
아파트 월세,2021,4,25778,0.19564040005207062,0.7567639350891113,전용면적(㎡),0.4130442917945336,0.13196268677711487,건축년도
아파트 월세,2022,4,28683,0.20160378515720367,0.8226332068443298,전용면적(㎡),0.4282032491421981,0.10018894821405411,건축년도
연립 매매,2019,1,6667,0.293671578168869,0.5914288759231567,전용면적(㎡),0.5722534145359495,0.046615589410066605,건축년도
연립 매매,2020,2,15034,0.24484296143054962,0.75035560131073,전용면적(㎡),0.6449887179414323,0.0532681830227375,건축년도
연립 매매,2021,4,10515,0.3026409447193146,0.6383609175682068,전용면적(㎡),0.6408739234548708,0.05082099512219429,건축년도
연립 매매,2022,4,4210,0.16338253021240234,0.2875071167945862,전용면적(㎡),0.5990891344345111,0.04787953570485115,건축년도
연립 전세,2019,1,16596,0.19793425500392914,0.6476355791091919,건축년도,0.647897082239229,0.05211036279797554,건축년도
연립 전세,2020,2,18010,0.21590811014175415,0.7008448839187622,건축년도,0.6929931387067076,0.062001924961805344,건축년도
연립 전세,2021,4,14991,0.2358359545469284,0.6128204464912415,전용면적(㎡),0.7235413519545337,0.04209933057427406,건축년도
연립 전세,2022,4,16910,0.19738195836544037,0.7062617540359497,건축년도,0.7201215273528061,0.05707315355539322,건축년도
연립 월세,2019,1,8456,0.09713391214609146,0.36979562044143677,월세금(만원),0.285668647203675,0.0620279498398304,월세금(만원)
연립 월세,2020,2,7194,0.08639154583215714,0.5213593244552612,월세금(만원),0.2773758248454803,0.05472032353281975,월세금(만원)
연립 월세,2021,4,8134,0.10471750795841217,0.6062499284744263,월세금(만원),0.28240826928084684,0.04712126404047012,월세금(만원)
연립 월세,2022,4,13212,0.08837573230266571,0.585925817489624,월세금(만원),0.33412806647541426,0.041827283799648285,월세금(만원)
